Qty,Value,Device,Package,DKPN,Order Quantity (Calc),Order Quantity (Real),Price,Total Price
11,0.1u,C-EUC0805,C0805,399-1249-1-ND,55,55,$0.04,$2.15
3,100u,C-EUC1206,C1206,490-7217-1-ND,15,15,$0.69,$10.34
15,10k,R-US_R0805,R0805,311-10KARCT-ND,75,100,$0.01,$0.73
3,150,R-US_R0805,R0805,311-150ARCT-ND,15,25,$0.02,$0.38
2,1M,R-US_R0805,R0805,311-1.00MCRCT-ND,10,25,$0.02,$0.38
2,3.3k,R-US_R0805,R0805,311-3.30KCRCT-ND,10,25,$0.02,$0.38
1,4m,R-US_R2512,R2512,696-1181-1-ND,5,5,$0.67,$3.35
4,750,R-US_R0805,R0805,311-750ARCT-ND,20,25,$0.01,$0.32
1,78MM6610+PSU,78MM6610+PSU,TSSOP16,78M6610+PSU/C48-ND,5,5,$2.56,$12.80
1,APDS-9005,APDS-9005,APDS-9005,516-1717-1-ND,5,5,$1.16,$5.80
5,BSS84,BSS84,SOT23,BSS84CT-ND,25,30,$0.19,$5.55
1,DK-1A-L2-3,DK-1A-L2-3,DK-1A-L2-3,255-2053-ND,5,5,$11.61,$58.05
3,JMP2,JMP2,JMP2,S1011EC-02-ND,15,25,$0.15,$3.63
1,LED-[0805],LED-[0805],L0805,160-1218-1-ND,5,5,$0.27,$1.35
1,LED-[0805],LED-[0805],L0805,475-1415-1-ND,5,5,$0.26,$1.30
1,LED-[0805],LED-[0805],L0805,475-2560-1-ND,5,5,$0.28,$1.40
1,MCP3202,MCP3202,MSOP-8[MCP3202],MCP3202-CI/SN-ND,5,7,$2.53,$17.71
1,MCP9700,MCP9700,SOT23,MCP9700T-E/TTCT-ND,5,5,$0.25,$1.25
1,RAC01-3.3,RAC01-3.3,RAC01-3.3,945-1400-5-ND,5,5,$12.77,$63.83
3,WTB-2,WTB-2,[TERM][2][0.2],ED2580-ND,15,15,$0.44,$6.53
1,Firefly to Custom hardware Connector,,,,5,5,$2.00,$10.00
1,Box,,,,5,5,$15.00,$75.00
1,Power In,,,,5,5,$0.79,$3.95
1,Power Out,,,,5,5,$0.95,$4.75
1,Button,,,,5,5,$2.00,$10.00
3,Jumpers,,,,15,15,$0.10,$1.50
,,,,,,,,$302.41
